id;counter_no;counter_name;del_flg
1;optical Mexico North;e-markets parallelism white;JSON generate
2;state;Frozen index;Seamless deposit Bedfordshire
3;Account bus Berkshire;teal;salmon
4;Costa;Toys;Cambridgeshire
5;quantifying Communications sensor;Corporate back;Steel virtual Parkways
6;Clothing Representative;GB;generation Ouguiya Cotton
7;Portugal Account;scalable;Avon
8;attitude-oriented model Architect;Borders Ergonomic;Tasty Investor withdrawal
9;Fish Practical;integrate;mobile
10;Savings;Knoll;Kansas Rubber lavender
