id;category_type;category_code;value;category_desc
1;XML Peso;connecting Director THX;Concrete;Dollar
2;digital paradigms;New hard evolve;communities Avon Alabama;connecting
3;Granite;even-keeled Berkshire SCSI;Netherlands AGP purple;Facilitator Automotive
4;Point Salad virtual;Orchestrator copy Borders;channels copying SMTP;Sweden paradigms
5;Electronics Belgium;Movies Buckinghamshire demand-driven;Shoes Dinar Integration;XSS backing virtual
6;Sleek Parks Refined;Chair;Producer integrated;Nakfa
7;Borders;Arkansas Utah;Unbranded world-class Cotton;Tools
8;Frozen;bandwidth fuchsia;Direct Licensed;Minnesota
9;Persistent tan Mobility;management synergies;Industrial Bike;Guinea-Bissau Chief
10;e-services Home;Awesome e-business;De-engineered Moroccan;Automotive
