id;code;name;del_flg
1;attitude-oriented transmitting Rand;back-end ADP;asynchronous deposit hour
2;mobile Berkshire structure;loyalty Brook;Central
3;eyeballs Guinea;state RSS open-source;Ergonomic
4;Practical deposit;synergies Handmade;Associate
5;Landing;Concrete;Car
6;Practical PCI synthesizing;fresh-thinking;cyan Fantastic
7;Health;withdrawal;Granite Throughway
8;National Metal;bluetooth;Rapid visionary out-of-the-box
9;Macao green Wyoming;robust;payment drive
10;Cuban;Programmable sensor Shoes;Account Rubber
