id;effective_date;rate_sr_no;rate_type;price_rate;del_flg
1;2021-07-01T00:00:14;7772;payment Proactive grey;98055;Avon Market deposit
2;2021-06-30T09:09:05;3263;Ethiopia invoice;27835;Wooden Bedfordshire
3;2021-06-30T15:01:54;72472;microchip;19424;digital modular
4;2021-07-01T04:12:23;48460;cyan EXE;61053;Cotton optical
5;2021-07-01T07:39:39;98721;feed user-centric Integration;69389;ubiquitous wireless
6;2021-06-30T21:51:22;48055;Jordan blue;32335;Concrete Automotive Unbranded
7;2021-07-01T03:27:13;59902;Facilitator Internal indexing;23879;Canada invoice
8;2021-06-30T17:03:37;4332;Fresh of;38726;Switzerland Account Road
9;2021-06-30T22:12:26;99195;Iowa;34905;Games Wooden pixel
10;2021-06-30T18:15:01;47763;Chile Wooden black;27804;Mouse Avon Marketing
