id;code;name;del_flg
1;invoice Central Aruban;circuit Front-line;Forint
2;Streamlined Sausages Mississippi;Licensed program;deposit West ability
3;task-force generating;Manager Profound;cross-media Unbranded
4;withdrawal;input online;optical holistic
5;integrate Courts Central;white Home;Luxembourg killer
6;deposit;Music Bedfordshire;Auto Shoes
7;Metrics functionalities Trail;Concrete;Technician payment
8;Brazilian Refined Lari;Tuna Georgia Product;Realigned Meadows
9;Garden Shoes;withdrawal;Awesome bandwidth-monitored
10;Lari;Handcrafted Concrete;Licensed Internal
