id;code;name;del_flg
1;Computer Handcrafted;fresh-thinking;microchip
2;Fish Bike;District copy;gold navigate
3;repurpose Switchable Principal;FTP calculating Alley;Concrete secondary Guatemala
4;Concrete Kentucky;generate up;Plastic synergies
5;metrics Hat;Lats Chicken grey;Electronics
6;streamline Moldovan;Interactions Light generate;override
7;wireless;Intelligent Account synthesizing;payment syndicate
8;synthesizing;real-time budgetary;Home open-source
9;systems Tasty;Group haptic;Brand turn-key Innovative
10;Auto quantify;Central innovative;Avon
