id;code;name;del_flg
1;Directives JBOD compressing;robust;generate
2;Knoll interface Dollar;leverage;Integration payment Shoes
3;Bulgaria Sleek Avon;Supervisor (Keeling);full-range
4;transmitting;platforms optical McDonald;Egypt white driver
5;Oregon ubiquitous;Handmade Garden Kwanza;Gloves e-enable Orchestrator
6;navigating Rupee Illinois;primary;Music reboot
7;Intelligent next-generation Sports;Product Common;zero
8;Bike up;deposit Granite Cote;olive
9;Gorgeous;interactive Buckinghamshire Principal;motivating Beauty
10;South;Home Borders Central;schemas Delaware
