id;effective_date;rate_sr_no;rate_type;price_rate;del_flg
1;2021-06-30T20:15:42;62429;Bike;85209;front-end streamline iterate
2;2021-06-30T23:37:21;43999;generation;6328;violet California moratorium
3;2021-06-30T19:36:42;307;parse demand-driven Oregon;23504;Cambridgeshire leverage Plastic
4;2021-06-30T19:52:45;1830;Berkshire e-commerce;21468;optimizing
5;2021-06-30T09:07:39;76563;Home superstructure integrated;1662;Shirt
6;2021-06-30T20:34:06;79119;Faso;81851;Loan
7;2021-07-01T04:00:39;57999;B2B;87368;Account Strategist Canyon
8;2021-06-30T20:53:25;94663;Washington;24889;Future-proofed AGP
9;2021-06-30T16:06:08;96969;card Unbranded Automotive;85044;Account Handcrafted iterate
10;2021-06-30T13:51:44;91300;Kwacha;76033;vortals Wyoming
