id;code;name;del_flg
1;Games;recontextualize Account Rubber;platforms blue connecting
2;haptic Gloves;Assurance orchestrate action-items;Account mesh
3;blue Steel;Pizza Hat Small;array demand-driven
4;Cotton District;neural visionary;granular visionary calculating
5;implement Wisconsin compressing;digital;Frozen deposit Berkshire
6;User-centric Island;holistic;Buckinghamshire syndicate New
7;markets Adaptive payment;programming Account;Frozen seize
8;Industrial generation Egypt;Loan;deposit management
9;time-frame;users;synthesize
10;transmit;Street neutral Multi-lateral;Refined Architect
