id;menu_code;menu_name;router_link;status
1;Corporate;framework Frozen;Research feed Lead;INACTIVE
2;reboot Intelligent Groves;Indiana;unleash program firmware;INACTIVE
3;user-facing empower matrix;asymmetric;convergence;INACTIVE
4;orchestrate payment;invoice Granite AI;PCI;ACTIVE
5;Manager Mobility parse;Refined silver;reboot Investment;ACTIVE
6;Consultant;XSS IB Investor;Berkshire;ACTIVE
7;Metal product Soft;Cambridgeshire Gorgeous Frozen;Books;INACTIVE
8;model input Profound;Rubber;Group;INACTIVE
9;Berkshire;Organic;Legacy Bedfordshire Licensed;INACTIVE
10;Avon grey;Awesome;synergistic;ACTIVE
