id;group_code;code;item_name;del_flg
1;G09;Brunei;France;Account
2;G04;Dale Intelligent;e-business Club;Small
3;G09;Clothing Rest Fantastic;navigate Afghani quantify;Kwacha proactive
4;G06;Cheese Colorado Mouse;Oval;groupware Bacon
5;G04;Infrastructure;wireless Rubber;Account optimize tertiary
6;G01;Account Market;algorithm Paraguay;contingency intranet experiences
7;G07;Soap Real payment;cross-platform;Steel system Soap
8;G04;Accountability;online Bike Tasty;Berkshire
9;G06;payment drive Gorgeous;Loan compressing;sexy
10;G05;Cross-group;Expressway deposit hybrid;Market didactic
