id;shop_code;name_eng;name_myan;addr_eng;addr_myan;phone;del_flg
1;red CSS Officer;Supervisor;compressing;Open-source;Secured Vista Keyboard;(590) 944-4078 x98237;Avon Awesome
2;programming Operative Bike;Coves interface;user-centric auxiliary Markets;analyzer state;drive Dakota;1-669-536-8934 x72721;Saudi yellow
3;incubate South;Account even-keeled;Chair;auxiliary;Groves virtual;1-580-296-9753;benchmark
4;Wyoming;human-resource;Account;customer;overriding optical synthesizing;537-863-8213 x688;cyan
5;visionary;Factors generate online;copy;Principal Unbranded;interface Oro;455.807.6087;redundant iterate
6;Bike Frozen;JBOD seamless Music;Tanzania Vanuatu Radial;killer;Krona Account Applications;(987) 699-9865;Account
7;Configuration Central hacking;Rupiah;multi-byte;Account;circuit;614.555.2986 x643;open-source Knolls
8;one-to-one Burg open-source;cross-media;Berkshire partnerships International;state Technician;Planner;(882) 911-9331 x89255;Synergized
9;New;architectures;reinvent;Intelligent users;program strategize;227.951.0786 x71247;parse capacity Adaptive
10;Table Plastic Borders;redundant Executive Tasty;Towels circuit Industrial;payment;info-mediaries;679-337-2526 x895;hacking Gibraltar
